index,city_development_index,relevant_experience,enrolled_university,education_level,experience,company_size,last_new_job,gender_Male,gender_Female,major_discipline_Non-STEM,major_discipline_STEM,company_type_Early Startup,company_type_Funded Startup,company_type_NGO,company_type_Public Sector,company_type_Pvt Ltd,target
117,1,1,2,2,1,0,1,1,0,0,1,0,0,1,0,0,0
118,3,1,0,2,1,0,4,1,0,0,1,0,0,0,0,1,0
119,4,1,1,2,1,0,1,1,0,1,0,0,1,0,0,0,0
120,1,1,0,2,2,0,5,0,1,0,1,0,0,0,0,1,0
121,4,1,0,4,3,1,2,1,0,0,1,0,0,0,0,1,1
122,3,1,0,2,2,1,2,1,0,0,1,0,0,0,0,1,0
123,4,1,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0
124,3,1,2,3,1,0,1,1,0,0,1,0,0,0,0,1,0
125,1,1,2,2,2,0,2,1,0,0,1,0,0,0,0,1,0
126,3,1,0,2,0,1,1,1,0,1,0,0,0,0,0,1,0
127,4,1,0,2,3,1,5,0,1,0,1,0,0,1,0,0,0
128,4,0,0,3,2,0,1,0,1,0,1,0,0,0,0,1,0
129,4,1,0,2,1,0,3,0,1,0,1,0,0,0,0,1,1
130,3,0,0,4,3,2,5,1,0,0,1,0,0,0,1,0,0
131,4,0,0,2,2,1,5,1,0,0,1,0,0,0,0,1,0
132,3,1,0,3,3,1,3,1,0,0,1,0,0,0,0,1,0
133,1,1,0,2,3,0,4,1,0,0,1,0,0,0,0,1,0
134,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
137,4,0,0,3,0,3,1,1,0,1,0,0,0,0,0,1,1
138,0,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0
139,4,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0,0
140,1,0,2,3,1,0,4,0,1,0,1,0,0,0,0,1,1
141,1,1,0,2,1,2,2,0,1,1,0,0,0,0,0,1,0
142,4,0,0,2,1,0,2,1,0,0,1,0,0,0,0,1,0
143,3,0,0,2,3,0,5,1,0,0,1,0,0,0,0,1,0
144,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1,0
145,4,1,0,3,3,0,0,1,0,0,1,0,0,0,0,1,0
146,2,1,0,2,2,3,5,1,0,0,1,0,0,0,0,1,0
147,2,1,0,2,2,1,2,1,0,0,1,0,0,0,0,1,1
148,3,1,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0
149,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
150,4,1,0,1,1,0,4,1,0,0,0,0,0,0,0,1,0
151,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1
152,4,0,0,4,3,0,5,1,0,0,1,0,0,0,0,1,0
154,4,1,0,3,3,2,5,0,1,1,0,0,0,1,0,0,0
155,1,1,0,2,1,3,4,1,0,0,1,0,0,0,0,1,1
156,4,1,0,2,2,1,5,1,0,0,1,0,0,0,0,1,0
157,4,1,2,2,2,2,3,1,0,0,1,0,0,0,0,1,1
158,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
159,4,1,0,2,2,3,1,1,0,0,1,0,0,0,0,1,0
160,4,1,0,2,3,2,1,1,0,0,1,0,0,0,0,1,0
161,4,1,0,2,3,1,0,1,0,0,1,0,0,0,0,1,0
162,4,1,0,2,3,1,2,1,0,1,0,0,0,0,0,1,0
163,3,0,0,3,1,3,5,1,0,0,1,0,0,0,0,1,0
164,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1,1
165,4,1,0,3,2,3,5,0,1,0,1,0,0,0,0,1,0
166,1,0,0,2,3,1,5,1,0,0,1,0,0,0,0,1,0
167,4,1,0,2,3,1,5,1,0,1,0,0,0,0,0,1,0
168,2,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1,0
169,4,1,0,3,3,3,5,1,0,0,1,0,0,0,1,0,1
170,3,1,0,3,1,1,4,1,0,0,1,0,0,0,0,1,0
172,1,1,1,3,1,0,1,1,0,0,1,1,0,0,0,0,0
174,3,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
175,4,1,0,3,3,2,4,1,0,0,1,0,0,0,0,1,0
176,4,1,0,2,3,0,1,1,0,0,1,0,0,0,1,0,0
177,4,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0
178,4,1,0,3,3,0,1,1,0,0,1,0,1,0,0,0,0
179,2,1,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0
180,1,0,2,2,1,2,0,1,0,0,1,0,0,0,0,1,1
181,4,1,0,2,3,1,1,1,0,0,1,0,1,0,0,0,0
182,4,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0
183,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1,0
184,4,1,0,3,3,0,0,1,0,0,1,0,0,0,0,1,0
185,3,1,1,2,0,3,1,1,0,0,1,0,0,0,0,1,0
186,1,1,0,2,1,0,5,1,0,0,1,0,0,0,0,1,1
187,4,1,0,2,3,0,5,0,1,0,1,0,0,0,0,1,0
188,2,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1,1
189,1,1,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0
190,4,1,0,2,2,3,1,1,0,0,1,0,0,0,0,1,0
191,1,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,0
192,4,0,2,3,2,0,3,1,0,0,1,0,0,0,1,0,1
193,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
194,4,1,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0
195,4,1,0,2,2,0,2,1,0,1,0,1,0,0,0,0,0
196,4,1,0,2,2,0,1,1,0,0,1,0,0,0,0,1,0
197,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0
198,3,1,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0
199,3,1,0,2,3,1,2,1,0,0,1,1,0,0,0,0,0
200,3,1,0,3,1,1,1,1,0,0,1,0,0,0,0,1,1
201,1,0,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0
202,2,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
203,1,1,2,2,1,3,1,1,0,0,1,0,0,0,0,1,0
204,4,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1,1
205,0,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,1
206,4,1,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0
207,4,1,2,2,3,1,5,1,0,1,0,0,0,0,0,1,1
208,4,1,0,3,3,1,5,1,0,1,0,0,0,0,0,1,0
209,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0
210,1,1,0,3,0,0,1,1,0,0,1,0,0,0,0,1,1
211,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0
212,1,0,2,2,0,2,0,1,0,0,1,0,0,0,0,1,0
213,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
214,1,1,0,3,0,0,1,1,0,0,1,0,1,0,0,0,0
215,2,1,0,2,1,2,4,1,0,0,1,0,0,0,0,1,0
216,4,1,0,3,3,3,1,1,0,0,1,0,0,0,0,1,0
217,1,0,0,2,0,3,0,1,0,0,1,0,0,0,0,1,0
218,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1,0
219,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
220,4,1,0,2,1,2,5,1,0,0,1,0,0,0,0,1,0
221,4,0,1,4,3,0,5,1,0,0,1,0,0,0,1,0,0
222,4,1,0,3,1,2,1,1,0,0,1,0,0,0,0,1,0
223,1,1,0,3,0,0,1,1,0,0,1,0,0,0,0,1,0
224,3,0,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0
225,4,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,1
226,4,1,1,2,3,0,5,1,0,0,1,0,0,0,1,0,0
227,4,1,0,2,0,1,2,1,0,0,1,0,0,0,0,1,0
228,4,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0
229,4,1,0,3,2,1,2,1,0,0,1,0,0,0,0,1,0
230,3,0,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
231,2,1,0,2,1,1,5,0,1,0,1,0,1,0,0,0,0
232,4,0,2,2,0,0,2,1,0,0,1,0,0,0,0,1,1
233,4,1,0,2,2,1,2,1,0,0,1,0,0,0,0,1,0
235,4,1,0,3,3,1,4,1,0,0,1,0,0,0,0,1,0
236,3,0,0,4,0,2,1,0,1,0,1,0,0,0,1,0,0
237,4,1,0,2,3,3,2,1,0,0,1,0,0,0,0,1,0
238,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1,0
239,1,1,0,2,1,0,5,1,0,0,1,0,0,0,0,1,1
240,4,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0
241,4,0,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0
242,4,1,0,3,2,1,5,1,0,0,1,0,0,0,0,1,0
243,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0
244,4,0,0,2,3,0,5,1,0,0,1,0,0,0,0,1,0
245,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0
246,4,1,0,3,1,0,5,1,0,0,1,0,0,0,0,1,0
247,1,1,2,3,0,0,2,1,0,0,1,0,0,1,0,0,0
248,4,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
249,4,1,0,2,1,0,3,1,0,0,1,0,0,0,0,1,0
250,4,1,0,2,2,1,5,1,0,0,1,0,0,0,0,1,0
251,4,1,0,2,3,2,5,1,0,0,1,0,0,1,0,0,0
252,1,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,1
253,1,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,1
254,4,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0
255,3,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0
256,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
257,3,1,0,3,2,0,1,1,0,0,1,0,0,0,0,1,0
258,1,1,1,2,1,0,1,1,0,0,1,0,0,0,0,1,1
259,1,0,0,2,3,0,5,0,0,0,1,0,0,0,0,1,1
260,1,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1
261,3,1,0,3,2,3,5,1,0,0,1,0,0,0,0,1,0
262,4,1,0,3,2,0,1,1,0,0,1,1,0,0,0,0,0
263,3,1,0,2,2,0,1,1,0,0,1,0,0,0,0,1,0
264,4,1,0,2,2,1,3,1,0,0,1,0,0,0,0,1,0
265,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0
266,4,0,0,3,0,3,0,1,0,0,1,0,0,0,0,1,0
268,4,1,0,2,2,2,3,1,0,0,1,0,0,0,0,1,0
270,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1
271,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
272,4,1,1,2,1,2,2,1,0,0,1,0,0,0,1,0,0
273,4,1,0,4,3,1,2,1,0,0,1,0,0,0,0,1,0
274,4,0,0,1,1,1,5,1,0,0,0,0,0,0,0,1,0
275,4,1,0,1,1,0,5,1,0,0,0,0,0,0,0,1,0
276,4,1,0,2,2,0,1,1,0,0,1,0,1,0,0,0,0
277,4,1,0,2,1,3,2,1,0,0,1,0,0,0,0,1,0
278,4,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0
279,4,1,0,2,0,0,4,1,0,0,1,0,1,0,0,0,0
280,4,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,1
281,1,1,0,2,3,0,0,1,0,0,1,0,0,0,0,1,1
282,4,1,0,2,1,1,2,1,0,0,1,0,1,0,0,0,0
283,2,0,0,2,1,2,1,1,0,0,1,0,0,0,0,1,0
284,3,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,0
285,0,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0
286,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
287,1,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
288,2,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,0
289,2,1,0,2,2,0,2,1,0,0,1,0,0,0,0,1,0
290,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1
291,4,0,0,2,0,2,1,1,0,0,1,0,0,0,0,1,0
292,4,1,2,2,3,3,1,1,0,0,1,0,0,0,0,1,0
293,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1,0
294,0,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0
295,4,1,1,2,3,1,2,1,0,0,1,0,0,0,0,1,0
296,2,1,0,2,1,3,1,1,0,0,1,0,0,0,0,1,0
297,3,1,2,2,1,2,2,0,1,0,1,0,0,0,0,1,0
298,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,0
299,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0
300,3,1,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0
301,1,0,2,2,0,2,1,1,0,0,1,0,0,0,0,1,1
302,3,1,2,2,1,2,1,1,0,0,1,0,0,0,0,1,0
303,1,1,0,3,0,0,1,1,0,0,1,0,0,0,1,0,1
304,3,1,0,3,1,0,1,0,1,0,1,0,0,0,0,1,0
305,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
306,4,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1
308,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1,0
309,4,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0
310,4,1,2,2,3,0,1,1,0,0,1,0,0,0,0,1,0
311,3,1,1,2,0,0,1,0,1,0,1,0,0,0,0,1,1
312,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,1
313,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1,0
314,2,0,2,3,2,0,5,1,0,0,1,0,0,0,0,1,0
315,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
316,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
317,3,1,0,4,3,1,5,1,0,0,1,0,0,0,0,1,0
318,4,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0
319,4,1,0,3,3,3,2,1,0,0,1,0,0,0,0,1,0
320,3,1,0,3,3,1,4,1,0,0,1,0,0,0,0,1,0
321,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,1
322,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,0
323,4,1,0,2,2,3,5,1,0,0,1,0,0,0,0,1,0
324,1,1,2,3,2,0,1,1,0,0,1,0,0,0,0,1,0
325,4,1,0,2,3,3,0,1,0,0,1,0,0,0,0,1,0
326,2,1,1,3,2,0,1,1,0,0,1,0,0,0,0,1,0
327,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
328,4,1,0,2,0,3,2,1,0,1,0,0,0,0,0,1,0
330,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
332,3,1,0,3,1,1,2,0,1,0,1,0,0,0,0,1,1
333,4,1,0,2,2,0,1,1,0,0,1,0,0,0,0,1,0
335,4,1,0,2,1,3,1,0,1,0,1,0,0,0,0,1,0
336,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1
337,4,1,0,3,3,1,5,1,0,0,1,0,0,0,0,1,0
338,3,1,0,2,2,0,2,0,1,0,1,0,0,0,0,1,0
339,4,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0
340,3,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0
341,4,1,0,2,2,0,4,1,0,0,1,0,0,0,0,1,0
342,3,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
343,4,1,0,2,0,3,1,1,0,0,1,0,0,0,0,1,0
344,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
345,1,1,0,2,0,0,2,1,0,0,1,0,0,0,0,1,1
346,3,1,2,3,1,1,4,1,0,0,1,0,0,0,0,1,0
348,1,0,2,3,0,0,2,1,0,0,1,0,0,1,0,0,1
349,4,1,0,2,1,0,1,0,1,0,1,0,0,0,0,1,0
350,4,1,0,2,2,2,5,1,0,0,1,0,0,0,0,1,0
351,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
352,3,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1,0
353,3,1,1,2,2,3,4,1,0,0,1,0,0,0,0,1,0
354,4,0,0,3,1,3,0,1,0,0,1,0,0,0,0,1,0
355,0,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0
356,4,1,0,2,3,0,1,1,0,0,1,0,1,0,0,0,0
357,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,1
358,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
359,1,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1,1
360,4,1,0,1,3,1,5,1,0,0,0,0,0,0,0,1,0
361,3,1,0,2,3,1,2,1,0,1,0,0,0,0,0,1,0
362,3,1,0,3,3,2,3,1,0,0,1,0,0,0,0,1,1
363,2,1,1,2,3,1,5,1,0,0,1,0,1,0,0,0,0
364,3,1,2,2,1,2,2,1,0,0,1,0,0,0,0,1,0
365,4,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0
367,3,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0,0
368,1,1,2,3,1,0,2,1,0,0,1,0,0,0,0,1,1
369,4,1,0,2,2,0,5,0,1,0,1,0,0,0,0,1,0
370,4,1,0,3,3,1,5,1,0,0,1,0,0,0,0,1,1
371,3,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,0
372,1,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,1
373,3,0,2,2,0,1,0,1,0,1,0,0,0,0,0,1,0
374,4,1,0,2,3,2,5,1,0,0,1,0,0,0,1,0,0
375,4,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1
376,4,1,0,3,2,1,2,1,0,0,1,0,0,0,0,1,0
377,4,1,2,2,2,0,1,1,0,0,1,0,0,0,0,1,0
378,4,1,0,2,1,2,4,1,0,0,1,0,0,0,0,1,0
379,3,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1
380,3,1,0,3,2,3,5,1,0,0,1,0,0,0,0,1,0
381,4,0,0,2,0,2,1,1,0,0,1,0,0,0,1,0,0
382,3,0,2,3,1,0,4,1,0,0,1,0,0,0,1,0,1
383,4,1,0,3,3,1,5,1,0,0,1,0,0,0,0,1,0
384,4,1,0,2,3,0,1,1,0,0,1,0,0,0,0,1,0
385,4,1,0,3,3,1,5,1,0,0,1,0,0,0,0,1,0
386,4,1,0,4,3,0,2,1,0,0,1,0,0,0,0,1,0
387,4,1,0,4,3,0,1,1,0,1,0,0,0,0,0,1,0
388,1,1,2,2,1,3,1,1,0,0,1,0,0,0,0,1,0
389,4,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1,0
390,3,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0
392,4,1,0,3,1,0,1,1,0,0,1,0,1,0,0,0,0
393,4,1,0,1,3,3,1,1,0,0,0,0,0,0,0,1,0
394,4,1,0,3,3,2,2,1,0,0,1,0,0,1,0,0,0
395,3,1,0,3,3,1,1,1,0,0,1,0,0,0,0,1,0
396,4,1,0,2,3,3,0,1,0,1,0,0,0,0,0,1,0
397,3,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0
398,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,1
400,3,0,0,2,1,0,3,1,0,0,1,0,0,0,0,1,0
401,4,1,0,2,3,0,1,1,0,0,1,0,1,0,0,0,0
402,4,1,0,2,3,1,1,1,0,0,1,0,0,1,0,0,0
403,3,1,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0
404,3,0,2,2,2,0,4,1,0,0,1,0,0,0,0,1,0
